property	kind	url	experimental	unstable	obsolete	deprecated
status	property	/en-US/docs/Web/API/Window/status	false	false	false	false
statusbar	property	/en-US/docs/Web/API/Window/statusbar	false	false	false	false
toolbar	property	/en-US/docs/Web/API/Window/toolbar	false	false	false	false
top	property	/en-US/docs/Web/API/Window/top	false	false	false	false
visualViewport	property	/en-US/docs/Web/API/Window/visualViewport	true	false	false	false
window	property	/en-US/docs/Web/API/Window/window	false	false	false	false
alert()	method	/en-US/docs/Web/API/Window/alert	false	false	false	false
atob()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/atob	false	false	false	false
back()	method	/en-US/docs/Web/API/Window/back	false	true	true	false
blur()	method	/en-US/docs/Web/API/Window/blur	false	false	false	false
btoa()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/btoa	false	false	false	false
cancelAnimationFrame()	method	/en-US/docs/Web/API/Window/cancelAnimationFrame	true	false	false	false
cancelIdleCallback()	method	/en-US/docs/Web/API/Window/cancelIdleCallback	false	false	false	false
captureEvents()	method	/en-US/docs/Web/API/Window/captureEvents	false	true	false	false
clearImmediate()	method	/en-US/docs/Web/API/Window/clearImmediate	false	false	false	false
clearInterval()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/clearInterval	false	false	false	false
clearTimeout()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/clearTimeout	false	false	false	false
close()	method	/en-US/docs/Web/API/Window/close	false	false	false	false
confirm()	method	/en-US/docs/Web/API/Window/confirm	false	false	false	false
convertPointFromNodeToPage()	method	/en-US/docs/Web/API/Window/convertPointFromNodeToPage	false	true	false	false
convertPointFromPageToNode	method	/en-US/docs/Web/API/Window/convertPointFromPageToNode	false	true	false	false
createImageBitmap()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/createImageBitmap	false	false	false	false
dump()	method	/en-US/docs/Web/API/Window/dump	false	true	false	false
fetch()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/fetch	true	false	false	false
find()	method	/en-US/docs/Web/API/Window/find	false	true	false	false
focus()	method	/en-US/docs/Web/API/Window/focus	false	false	false	false
forward()	method	/en-US/docs/Web/API/Window/forward	false	true	true	true
getAttention()	method	/en-US/docs/Web/API/Window/getAttention	false	false	false	false
getComputedStyle()	method	/en-US/docs/Web/API/Window/getComputedStyle	false	false	false	false
getDefaultComputedStyle()	method	/en-US/docs/Web/API/window/getDefaultComputedStyle	false	false	false	false
getSelection()	method	/en-US/docs/Web/API/Window/getSelection	false	false	false	false
home()	method	/en-US/docs/Web/API/Window/home	false	false	true	false
